"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Jul 17 21:18:26 BDT 2023","Mon Jul 17 21:18:44 BDT 2023","18052","Google LLC Calculator Test Automation","Calculation","CalcTestRunner","CalcTestRunner","doSeries","Do series 1",""
"passed","Mon Jul 17 21:18:45 BDT 2023","Mon Jul 17 21:19:03 BDT 2023","18421","Google LLC Calculator Test Automation","Calculation","CalcTestRunner","CalcTestRunner","doSeries2","Do series 2",""
